"","date","GNPannGrowth15","TenYrQrt.T10yrq","FiveYrQrt.T5yrq","TbillQrt.T3moq","TbillQrtSec.T3moqs","TS5","TS5sec","TS10","TS10sec"
"58",1967-07-01,0.0497949473993543,0.0516,0.0523,0.0421,0.0421,0.00974033674838459,0.00974033674838459,0.00907490585734448,0.00907490585734448
"59",1967-10-01,0.0447842716139746,0.0548,0.0557,0.0456,0.0456,0.00961317068563686,0.00961317068563686,0.00876029216911928,0.00876029216911928
"60",1968-01-01,0.0304283631725998,0.0553,0.0554,0.05,0.05,0.00512967781999818,0.00512967781999818,0.00503492252547538,0.00503492252547538
"61",1968-04-01,0.028967515090257,0.0564,0.0569,0.0538,0.0538,0.00293741624011603,0.00293741624011603,0.00246422264779165,0.00246422264779165
"62",1968-07-01,0.0200433285719989,0.055,0.056,0.0531,0.0531,0.00274998987965542,0.00274998987965542,0.00180257152361544,0.00180257152361544
"63",1968-10-01,0.00289783442474237,0.0558,0.0555,0.0535,0.0535,0.00189663404413159,0.00189663404413159,0.00218081914527217,0.00218081914527217
"64",1969-01-01,0.00193515492094438,0.0604,0.0625,0.0614,0.0614,0.00103583040477738,0.00103583040477738,-0.000942595978924001,-0.000942595978924001
"65",1969-04-01,0.00470303907053107,0.0617,0.063,0.0611,0.0611,0.00178899346240326,0.00178899346240326,0.000565291139982878,0.000565291139982878
"66",1969-07-01,-0.00177956351448644,0.0672,0.0701,0.07,0.07,9.34535770035626e-05,9.34535770035626e-05,-0.00262025229459273,-0.00262025229459273
"67",1969-10-01,0.0275320885547782,0.071,0.0751,0.07,0.07,0.00475503203523046,0.00475503203523046,0.0009341429917967,0.0009341429917967
"68",1970-01-01,0.031707346832989,0.0779,0.0817,0.0787,0.0787,0.00277726525486053,0.00277726525486053,-0.000741908593800566,-0.000741908593800566
"69",1970-04-01,0.0300330080496095,0.0739,0.075,0.0651,0.0651,0.00925197011264306,0.00925197011264306,0.00822819041505088,0.00822819041505088
"70",1970-07-01,0.044629961054302,0.0746,0.0759,0.0645,0.0645,0.0106523152663294,0.0106523152663294,0.00944329396118685,0.00944329396118685
"71",1970-10-01,0.0348684333339557,0.0733,0.0712,0.0591,0.0591,0.0113600245273392,0.0113600245273392,0.0133185236378552,0.0133185236378552
"72",1971-01-01,0.0521931599794054,0.0624,0.0589,0.0444,0.0444,0.013788075611435,0.013788075611435,0.0170879418971957,0.0170879418971957
"73",1971-04-01,0.0549586385297444,0.0583,0.0565,0.0386,0.0386,0.0170879056458928,0.0170879056458928,0.0187901946894602,0.0187901946894602
"74",1971-07-01,0.0688295755185257,0.0673,0.0685,0.054,0.054,0.0136633456578946,0.0136633456578946,0.0125396448186115,0.0125396448186115
"75",1971-10-01,0.0766197900065177,0.0593,0.0593,0.0446,0.0446,0.0139742756002519,0.0139742756002519,0.0139742756002519,0.0139742756002519
"76",1972-01-01,0.0649270414744258,0.0595,0.0559,0.0338,0.0338,0.0211521500505297,0.0211521500505297,0.0245557649464146,0.0245557649464146
"77",1972-04-01,0.0504697302340293,0.0619,0.0617,0.0371,0.0371,0.0234430404238389,0.0234430404238389,0.0236313998141115,0.0236313998141115
"78",1972-07-01,0.0430899784762531,0.0611,0.0597,0.0398,0.0398,0.0189574622311749,0.0189574622311749,0.020277718929929,0.020277718929929
"79",1972-10-01,0.010499601012952,0.0648,0.0618,0.0474,0.0474,0.0136546783041839,0.0136546783041839,0.0164760852355145,0.0164760852355145
"80",1973-01-01,0.000703155537859317,0.0646,0.0634,0.0541,0.0541,0.00878399980909438,0.00878399980909438,0.00991181947751335,0.00991181947751335
"81",1973-04-01,-0.00591088183626131,0.0667,0.0667,0.0626,0.0626,0.00385103561459421,0.00385103561459421,0.00385103561459421,0.00385103561459421
"82",1973-07-01,-0.0203641566513692,0.0713,0.0733,0.0801,0.0801,-0.00631561493694988,-0.00631561493694988,-0.00818076515591615,-0.00818076515591615
"83",1973-10-01,-0.0271609684637081,0.0679,0.0677,0.0722,0.0722,-0.00420581020918059,-0.00420581020918059,-0.00401850921593784,-0.00401850921593784
"84",1974-01-01,-0.02159356490126,0.0699,0.0695,0.0777,0.0777,-0.00763789108032565,-0.00763789108032565,-0.00726395445822517,-0.00726395445822517
"85",1974-04-01,0.00568798460119862,0.0751,0.0792,0.0833,0.0833,-0.00379191205797566,-0.00379191205797566,-0.00759825746033933,-0.00759825746033933
"86",1974-07-01,0.0261964772752471,0.0781,0.0838,0.0755,0.0755,0.00768771442422937,0.00768771442422937,0.00241456283728773,0.00241456283728773
"87",1974-10-01,0.0631134213974982,0.079,0.0797,0.0746,0.0746,0.0047347254583734,0.0047347254583734,0.00408618696341352,0.00408618696341352
